Event Prices Benidorm 2025;;;;;;;;;6/8/25;
Prices in EUROS *;Price;Min Pax;Transport;Food;Drink;Time;Duration;Meeting Point;Comments;
DAYTIME ACTIVITIES;;;;;;;;;;
Oasis Frontline Fiesta;39 €;4;No;Yes;Yes;14:00;3 hours;Oasis Beach Club;Freshly made Paella, 2 hours beers,sangria,soft drinks + 2 drinks of choice (Vodka, rum etc). This is available every Saturday from March to October and Sundays in May, June & July;
Oasis VIP Rooftop Terrace Jacuzzi Package;55 €;7;No;Yes;Yes;11am or 3.30pm;4 hours;Oasis Beach Club;Groups will have 40€ per person credit for food and drink, use of terrace and Jacuzzi with waiter service. Groups receive 2.5 hours in the hotub.;
Jeeps Half Day;OR;4;Yes;No;No;10am or 2pm;3 Hours;At Accommodation;Any day - Start times may vary;
BUDGET Karting 15 Minutes inc bbq meal and 2 beers;60 €;6;yes;yes;yes;11/12/13/14;2 Hours;At Accommodation;any day. 15 minutes karting all in one session ;
Go Karting 20 mins inc bbq meal and 2 beers;70 €;8;Yes;Yes;Yes;11/12/13/14;3 Hours;At Accommodation;Do not sell as Limo transfer, as they get dissapointed in they get minibuses;
Go Karting 20 mins race WITHOUT MEAL + DRINKS;60 €;8;Yes;No;No;11/12/13/14;2 Hours;At Accommodation;Do not sell as Limo transfer;
Go Karting 30 mins race inc bbq and 2 beers;80 €;8;Yes;Yes;Yes;11/12/13/14;2.5 hours;At Accommodation;TOP TIP - Karting is quieter on Sundays if they are here for it. ;
Go Karting 30 mins race WITHOUT MEAL + DRINKS;70 €;8;Yes;No;No;11/12/13/14;2 hours;At Accommodation;The 30 minutes karting is based on 3 x 10 minute sessions, warm up, timing and race ;
Go Karting transport only to track;25 €;1;Yes;No;No;11/12/13/14;2 hours;At Accommodation;For people that want to go to the go kart track to watch but not partake in the karting;
Go Karting transport only to track with BBQ;40 €;1;Yes;Yes;Yes;11/12/13/14;2 Hours;At Accommodation;For people that want to go to the go kart track to watch and have a BBQ but not partake in the karting;
Bubble Football;32 €;10;Walking;No;No;11/12/13/14;1-1.5 hours;Benidorm;60 Minutes for 10-18 pax or 90 Minutes for 19 - 25 Pax;
Shock Football;32 €;10;Walking;no;no;11/12/13/14;1-1.5 hours;Benidorm;60 Minutes for 10-18 pax or 90 Minutes for 19 - 25 Pax;
Terra Mitica Theme Park;45 €;4;No;No;No;10am - 20:00;all day ;Terra Mitica;Opens Start May to End October;
Aqualandia - Waterpark;39 €;4;No;No;No;10am - 19:00;all day ;Aqualandia;Opens end of May to End September;
Pole Dancing classes 2 hours;35 €;9;No;No;Water;4pm;2 Hours;The Square;Any day can be done at 4pm or 6pm.;
4* Spa Day - water circuit only ;22 €;4;No;No;No;11:00am;2 hours;at Sandos Monaco;A VIP pass to the water circuit but no lunch included. ;
4* Spa Day - 3 hours with buffet;37 €;4;No;Buffet;Yes;11.00am;3 Hours;at Sandos Monaco;Free drinks with lunch.  10€ deposit for towels, swimming caps must be worn (1.50€);
Life Drawing Class (Male Model);29 €;8;No;No;Yes;1pm-4pm;1 Hour;Insomnia;Class includes Materials, Model and glass of cava on arrival. Model will be as naked as the group wishes, option to paint the model´s body;
Life Drawing Class (Female Model);29 €;8;No;No;Yes;1pm-4pm;1 Hour;Insomnia;Class includes Materials, Model and small beer on arrival. Strip add on availble for additional 150€ (no option to paint / touch model);
Cocktail Making classes - 3 cocktail + 2 shots;29 €;6;No;No;3 cocktails;Daytime;2 Hours;Rockstar   ;Class includes 2 SHOTS , mixologist and 3x cocktails;
Cocktail Making with Tapas;39 €;6;No;Yes;3 cocktails;Daytime;2 Hours;Rockstar;Class includes 2 SHOTS , mixologist 3 x cocktails and selection of Tapas;
Cocktail Making classes and BBQ and a Drink;44 €;6;No;BBQ;1 Beer;lunch;3 hours;Rockstar;Same as above with BBQ and 1 glass of wine or Pint Beer per person ;
*NEW* Silent Disco Bar Crawl;25 €;6;No;No;;2.30pm;3.5 Hours;Funky Flamingo;Silent Disco Bar Crawl around 5/6 Benidorm Party Bars, games and shots around the bars;
